acondicionador 650 ml,ballerina,aseo,13,800
acondicionador 750 ml,familand,aseo,9,1090
acondicionador 900 ml,ballerina,aseo,15,1200
alimento adulto carne y arroz 15 kg,sabro kan,mascota,2,12990
alimento adulto carne y arroz 9 kg,sabro kan,mascota,2,7490
alimento adulto carne y vegetales 15 kg,champion dog,mascota,9,18390
alimento adulto carne y vegetales 15kg,pedigree,mascota,6,20490
Alimento adulto pollo arroz vegetales 15 kg,master dog,mascota,2,19590
Alimento cachorro leche 15 kg,master dog,mascota,2,19490
alimento carne pollo vegetal raza pequeña 9 kg,pedigree,mascota,2,19350
Alimento pedigree sobre carne 100 gr,pedigree,mascota,3,510
Alimento pedigree sobre pollo 100 gr,pedigree,mascota,3,500
alimento pero adulto 15 kg,master dog,mascota,2,19590
Alimento perro adulto carne 15 kg,champion dog,mascota,1,18390
Alimento perro adulto raza grande 15 kg,dog chow,mascota,6,20990
alimento perro adulto variedades 15 kg,pedigree,mascota,2,20490
alimento seco adulto carne y vegetales 15 kg ,cannes,mascota,3,17900
alimento seco adulto mayor 7 anios 8 kg,dog chow,mascota,2,17650
alimento seco adulto raza pequenia 3 kg,dog chow,mascota,4,8550
alimento seco perro adulto 15 kg,cannes,mascota,6,17400
alimento seco razas pequenias 3 kg,cannes,mascota,2,5250
Atún lomito en aceite 185 gr,Lider,Despensa,6,895
Bolsa de Basura 50 x 70 cm,Lider,aseo,6,430
Bolsa de Basura 70 x 90 cm,virutex,aseo,4,890
Bolsa para basura 50 x 70 cm,tottus,aseo,7,450
Bolsas Para Basura 80 X 110 Cms,Superior,aseo,6,1539
Café instantáneo 170 gr,Seleccion,Despensa,2,4190
Carne molida 500 gr,Friboi,Congelados,3,2490
coca-cola 1 lts,coca-cola,bebida,10,800
coca-cola 2 lts,coca-cola,bebida,10,1200
Coca-Cola 2.5 lts,coca-cola,bebida,6,1690
Coca-Cola light 2.5 lts,coca-cola,bebida,6,1690
dentastix raza grande 7 un,pedigree,mascota,2,2050
dentastix raza pequenia 7 un,pedigree,mascota,4,1600
Desinfectante Cocina 500ml,Sanytol,aseo,4,2390
doritos sabor queso 320 gr,evercrips,snack ,5,1850
fanta 2 lts,coca-cola,bebida,5,1200
Fanta 2.5 lts,coca-cola,bebida,3,1690
Filetito pechuga de pollo 700 gr,Super pollo,Congelados,7,3890
Films Plástico Transparente Económico,Europlas,Cocina,6,1200
galletas pello adulto sabor carne 500 gr,master dog,mascota,7,2290
Guante de Goma Conveniente,virutex,aseo,6,1350
Guantes de Látex Conveniente,Lider,aseo,10,1050
Hamburguesa proteina de soya 100 gr ,La crianza,Vegetariano,3,760
Hamburguesa de soya 100 gr ,Mister Veggie,Vegetariano,5,550
Hamburguesa de vacuno 100 gr,La crianza,Congelados,17,590
Lavaloza limon verde 300 ml,Cif,aseo,3,1991
Leche descremada caja 1 L,soprole,Lacteos,3,710
Leche fresca descremada 1 L,colun,Lacteos,4,760
Leche descremada formato 1 L,lonco leche,Lacteos,4,680
Leche descremada 1 L,Lider,Lacteos,6,690
Leche entera 1 L,Lider,Lacteos,2,690
Leche fresca entera 1 L,colun,Lacteos,2,760
Leche entera caja 1 L,soprole,Lacteos,3,710
Leche entera formato 1 L,lonco leche,Lacteos,5,680
Leche fresca semidescremada 1 L,colun,Lacteos,2,760
Leche semidescremada caja 1 L,soprole,Lacteos,2,710
Leche semidescremada 1 L,Lider,Lacteos,4,690
Leche semidescremada formato 1 L,lonco leche,Lacteos,4,680
Lentejas 6 mm Bolsa 1 Kg,Lider,Despensa,4,1860
Limpiador Antigrasa Con Atomizador 500ml,Cif,aseo,8,1669
Limpiador Antigrasa Repuesto Economico 900 ml,Cif,aseo,5,2240
Limpiador Líquido Cocina 450 ml,Cif,aseo,4,1629
Lomitos de Atún en Agua Lata 185 g,Lider,Despensa,8,895
mani japones,marco polo ,snack,5,759
mani salado 430 gr,evercrips,snack,6,1690
Mix bora bora,marco polo ,snack,3,1159
nuggets de pollo 1 kg,Super pollo,Congelados,4,4190
Nuggets de pollo 400 gr,La crianza,Congelados ,8,1990
Nuggets de verduras 400 gr,La crianza,Vegetariano,7,2190
Papas duquesas 1 kg,Minuto verde,Congelados,6,3290
papas fritas 250 gr,tottus,snack,3,990
papas fritas 400 grs,marco polo ,snack,6,1500
papas fritas 450 grs,acuenta,snack,8,990
papas fritas caseras 200gr,marco polo ,snack,7,1419
papas fritas lays 500grs,lays,snack,10,2000
papas pre-fritas 1 kg,Minuto verde,Congelados,2,2590
Pasta de choclo 1 kg,Minuto verde,Congelados,2,2790
Pate de jamón 125 gr,PF,Despensa,3,480
Pate de ternera 125 gr,PF,Despensa,8,500
Pechuga deshuesada de pollo 700 gr,Super pollo,Congelados,12,3690
Poroto verde 350 gr,Minuto verde,Congelados,8,1390
Queso Gauda laminado 500 gr,CALO,Despensa,10,3690
ramitas evercrips 500grs,evercrips,snack,10,500
Salchichas de pavo 1 Kg,PF,Congelaods,3,2550
Salchichas sureñas 1 Kg,PF,Congeladas,5,2750
shampoo 1 L,familand ,aseo,7,1090
shampoo 650 ml,ballerina,aseo,5,800
shampoo 900 ml,ballerina,aseo,18,1200
sprite 2 lts,coca-cola,bebida,5,1200
Sprite 2.5 lts,coca-cola,bebida,4,1690
Sucedaneo de hamburguesa de garbanzos 400 gr,Minuto verde,Vegetariano,5,3490
toallitas húmedas 45un,parent's choice,aseo,7,1300
tuco albahaca ,maggi,despensa,4,1089
Tortilla de verduras,La crianza,Vegetariano,1,620
tuco champiñon,maggi,despensa,5,1089
Tuco de carne,maggi,despensa,6,1089
tuco de pollo,maggi,despensa,4,1089
Vinagre de manzana 890,tottus,despensa,3,890
vinagre de vino blanco 500 ml,tottus,despensa,5,590
